,time in hrs
0,0.0
1,100.10010010010011
2,200.20020020020021
3,300.3003003003003
4,400.40040040040043
5,500.50050050050055
6,600.6006006006006
7,700.7007007007007
8,800.8008008008009
9,900.900900900901
10,1001.0010010010011
11,1101.1011011011012
12,1201.2012012012012
13,1301.3013013013015
14,1401.4014014014015
15,1501.5015015015017
16,1601.6016016016017
17,1701.7017017017017
18,1801.801801801802
19,1901.901901901902
20,2002.0020020020022
21,2102.1021021021024
22,2202.2022022022024
23,2302.3023023023025
24,2402.4024024024025
25,2502.5025025025025
26,2602.602602602603
27,2702.702702702703
28,2802.802802802803
29,2902.902902902903
30,3003.0030030030034
31,3103.1031031031034
32,3203.2032032032034
33,3303.3033033033034
34,3403.4034034034034
35,3503.503503503504
36,3603.603603603604
37,3703.703703703704
38,3803.803803803804
39,3903.9039039039044
40,4004.0040040040044
41,4104.104104104104
42,4204.204204204205
43,4304.304304304304
44,4404.404404404405
45,4504.504504504504
46,4604.604604604605
47,4704.704704704705
48,4804.804804804805
49,4904.904904904905
50,5005.005005005005
51,5105.105105105105
52,5205.205205205206
53,5305.305305305305
54,5405.405405405406
55,5505.505505505506
56,5605.605605605606
57,5705.705705705706
58,5805.805805805806
59,5905.905905905906
60,6006.006006006007
61,6106.106106106106
62,6206.206206206207
63,6306.306306306306
64,6406.406406406407
65,6506.506506506507
66,6606.606606606607
67,6706.706706706707
68,6806.806806806807
69,6906.906906906907
70,7007.007007007008
71,7107.107107107107
72,7207.207207207208
73,7307.307307307307
74,7407.407407407408
75,7507.507507507508
76,7607.607607607608
77,7707.707707707708
78,7807.807807807809
79,7907.907907907908
80,8008.008008008009
81,8108.108108108108
82,8208.208208208209
83,8308.30830830831
84,8408.40840840841
85,8508.508508508508
86,8608.608608608609
87,8708.70870870871
88,8808.80880880881
89,8908.90890890891
90,9009.009009009009
91,9109.10910910911
92,9209.20920920921
93,9309.30930930931
94,9409.40940940941
95,9509.50950950951
96,9609.60960960961
97,9709.70970970971
98,9809.80980980981
99,9909.909909909911
100,10010.01001001001
101,10110.11011011011
102,10210.21021021021
103,10310.310310310311
104,10410.410410410412
105,10510.51051051051
106,10610.61061061061
107,10710.710710710711
108,10810.810810810812
109,10910.910910910912
110,11011.011011011013
111,11111.111111111111
112,11211.211211211212
113,11311.311311311312
114,11411.411411411413
115,11511.511511511513
116,11611.611611611612
117,11711.711711711712
118,11811.811811811813
119,11911.911911911913
120,12012.012012012014
121,12112.112112112112
122,12212.212212212213
123,12312.312312312313
124,12412.412412412414
125,12512.512512512514
126,12612.612612612613
127,12712.712712712713
128,12812.812812812814
129,12912.912912912914
130,13013.013013013015
131,13113.113113113113
132,13213.213213213214
133,13313.313313313314
134,13413.413413413415
135,13513.513513513515
136,13613.613613613614
137,13713.713713713714
138,13813.813813813815
139,13913.913913913915
140,14014.014014014016
141,14114.114114114114
142,14214.214214214215
143,14314.314314314315
144,14414.414414414416
145,14514.514514514516
146,14614.614614614615
147,14714.714714714715
148,14814.814814814816
149,14914.914914914916
150,15015.015015015017
151,15115.115115115117
152,15215.215215215216
153,15315.315315315316
154,15415.415415415417
155,15515.515515515517
156,15615.615615615618
157,15715.715715715716
158,15815.815815815817
159,15915.915915915917
160,16016.016016016018
161,16116.116116116118
162,16216.216216216217
163,16316.316316316317
164,16416.416416416418
165,16516.516516516516
166,16616.61661661662
167,16716.716716716717
168,16816.81681681682
169,16916.916916916918
170,17017.017017017017
171,17117.11711711712
172,17217.217217217218
173,17317.31731731732
174,17417.41741741742
175,17517.517517517517
176,17617.61761761762
177,17717.71771771772
178,17817.81781781782
179,17917.91791791792
180,18018.018018018018
181,18118.11811811812
182,18218.21821821822
183,18318.31831831832
184,18418.41841841842
185,18518.51851851852
186,18618.61861861862
187,18718.71871871872
188,18818.81881881882
189,18918.91891891892
190,19019.01901901902
191,19119.11911911912
192,19219.21921921922
193,19319.319319319322
194,19419.41941941942
195,19519.51951951952
196,19619.61961961962
197,19719.71971971972
198,19819.819819819822
199,19919.91991991992
200,20020.02002002002
201,20120.120120120122
202,20220.22022022022
203,20320.320320320323
204,20420.42042042042
205,20520.52052052052
206,20620.620620620623
207,20720.72072072072
208,20820.820820820823
209,20920.920920920922
210,21021.02102102102
211,21121.121121121123
212,21221.22122122122
213,21321.321321321324
214,21421.421421421423
215,21521.521521521525
216,21621.621621621623
217,21721.721721721722
218,21821.821821821824
219,21921.921921921923
220,22022.022022022025
221,22122.122122122124
222,22222.222222222223
223,22322.322322322325
224,22422.422422422424
225,22522.522522522526
226,22622.622622622624
227,22722.722722722723
228,22822.822822822825
229,22922.922922922924
230,23023.023023023026
231,23123.123123123125
232,23223.223223223224
233,23323.323323323326
234,23423.423423423425
235,23523.523523523527
236,23623.623623623625
237,23723.723723723724
238,23823.823823823826
239,23923.923923923925
240,24024.024024024027
241,24124.124124124126
242,24224.224224224225
243,24324.324324324327
244,24424.424424424426
245,24524.524524524528
246,24624.624624624626
247,24724.724724724725
248,24824.824824824827
249,24924.924924924926
250,25025.02502502503
251,25125.125125125127
252,25225.225225225226
253,25325.325325325328
254,25425.425425425427
255,25525.52552552553
256,25625.625625625627
257,25725.725725725726
258,25825.82582582583
259,25925.925925925927
260,26026.02602602603
261,26126.126126126128
262,26226.226226226227
263,26326.32632632633
264,26426.426426426427
265,26526.52652652653
266,26626.62662662663
267,26726.726726726727
268,26826.82682682683
269,26926.926926926928
270,27027.02702702703
271,27127.12712712713
272,27227.227227227228
273,27327.32732732733
274,27427.42742742743
275,27527.52752752753
276,27627.62762762763
277,27727.727727727728
278,27827.82782782783
279,27927.92792792793
280,28028.02802802803
281,28128.12812812813
282,28228.22822822823
283,28328.32832832833
284,28428.42842842843
285,28528.52852852853
286,28628.62862862863
287,28728.72872872873
288,28828.82882882883
289,28928.92892892893
290,29029.029029029032
291,29129.12912912913
292,29229.22922922923
293,29329.32932932933
294,29429.42942942943
295,29529.529529529533
296,29629.62962962963
297,29729.72972972973
298,29829.829829829832
299,29929.92992992993
